time,value
2010-05-22 12:00:00,612
2010-05-22 13:00:00,626
2010-05-22 14:00:00,635
2010-05-22 15:00:00,640
2010-05-22 16:00:00,640
2010-05-22 17:00:00,633
2010-05-22 18:00:00,621
2010-05-22 19:00:00,601
2010-05-22 20:00:00,576
2010-05-22 21:00:00,561
2010-05-22 22:00:00,550
2010-05-22 23:00:00,540
2010-05-23 00:00:00,530
2010-05-23 01:00:00,522
2010-05-23 02:00:00,514
2010-05-23 03:00:00,508
2010-05-23 04:00:00,503
2010-05-23 05:00:00,501
2010-05-23 06:00:00,511
2010-05-23 07:00:00,526
2010-05-23 08:00:00,543
2010-05-23 09:00:00,560
2010-05-23 10:00:00,580
2010-05-23 11:00:00,598
2010-05-23 12:00:00,613
2010-05-23 13:00:00,628
2010-05-23 14:00:00,637
2010-05-23 15:00:00,641
2010-05-23 16:00:00,642
2010-05-23 17:00:00,634
2010-05-23 18:00:00,623
2010-05-23 19:00:00,603
2010-05-23 20:00:00,578
2010-05-23 21:00:00,563
2010-05-23 22:00:00,552
2010-05-23 23:00:00,542
2010-05-24 00:00:00,532
2010-05-24 01:00:00,524
2010-05-24 02:00:00,517
2010-05-24 03:00:00,510
2010-05-24 04:00:00,506
2010-05-24 05:00:00,503
2010-05-24 06:00:00,514
2010-05-24 07:00:00,528
2010-05-24 08:00:00,545
2010-05-24 09:00:00,562
2010-05-24 10:00:00,581
2010-05-24 11:00:00,599
2010-05-24 12:00:00,615
2010-05-24 13:00:00,629
2010-05-24 14:00:00,638
2010-05-24 15:00:00,641
2010-05-24 16:00:00,643
2010-05-24 17:00:00,635
2010-05-24 18:00:00,624
2010-05-24 19:00:00,604
2010-05-24 20:00:00,579
2010-05-24 21:00:00,565
2010-05-24 22:00:00,553
2010-05-24 23:00:00,543
2010-05-25 00:00:00,533
2010-05-25 01:00:00,525
2010-05-25 02:00:00,518
2010-05-25 03:00:00,512
2010-05-25 04:00:00,507
2010-05-25 05:00:00,505
2010-05-25 06:00:00,516
2010-05-25 07:00:00,530
2010-05-25 08:00:00,548
2010-05-25 09:00:00,564
2010-05-25 10:00:00,583
2010-05-25 11:00:00,601
2010-05-25 12:00:00,616
2010-05-25 13:00:00,630
2010-05-25 14:00:00,639
2010-05-25 15:00:00,643
2010-05-25 16:00:00,644
2010-05-25 17:00:00,636
2010-05-25 18:00:00,625
2010-05-25 19:00:00,605
2010-05-25 20:00:00,581
2010-05-25 21:00:00,566
2010-05-25 22:00:00,555
2010-05-25 23:00:00,545
2010-05-26 00:00:00,535
2010-05-26 01:00:00,527
2010-05-26 02:00:00,520
2010-05-26 03:00:00,513
2010-05-26 04:00:00,509
2010-05-26 05:00:00,507
2010-05-26 06:00:00,518
2010-05-26 07:00:00,532
2010-05-26 08:00:00,550
2010-05-26 09:00:00,567
2010-05-26 10:00:00,586
2010-05-26 11:00:00,604
2010-05-26 12:00:00,619
2010-05-26 13:00:00,633
2010-05-26 14:00:00,642
2010-05-26 15:00:00,646
2010-05-26 16:00:00,647
2010-05-26 17:00:00,639
2010-05-26 18:00:00,628
2010-05-26 19:00:00,609
2010-05-26 20:00:00,584
2010-05-26 21:00:00,569
2010-05-26 22:00:00,558
2010-05-26 23:00:00,548
2010-05-27 00:00:00,538
2010-05-27 01:00:00,530
2010-05-27 02:00:00,522
2010-05-27 03:00:00,516
2010-05-27 04:00:00,511
2010-05-27 05:00:00,509
2010-05-27 06:00:00,520
2010-05-27 07:00:00,535
2010-05-27 08:00:00,552
2010-05-27 09:00:00,569
2010-05-27 10:00:00,588
2010-05-27 11:00:00,606
2010-05-27 12:00:00,622
2010-05-27 13:00:00,636
2010-05-27 14:00:00,646
2010-05-27 15:00:00,650
2010-05-27 16:00:00,650
2010-05-27 17:00:00,643
2010-05-27 18:00:00,633
2010-05-27 19:00:00,613
2010-05-27 20:00:00,588
2010-05-27 21:00:00,572
2010-05-27 22:00:00,561
2010-05-27 23:00:00,551
2010-05-28 00:00:00,540
2010-05-28 01:00:00,533
2010-05-28 02:00:00,525
2010-05-28 03:00:00,518
2010-05-28 04:00:00,513
2010-05-28 05:00:00,511
2010-05-28 06:00:00,522
2010-05-28 07:00:00,537
2911:00:00,610
2010-05-2912:00:00,626
2010-05-2913:00:00,641
2010-05-2914:00:00,650
2010-05-2915:00:00,654
2010-05-2916:00:00,655
2010-05-2917:00:00,648
2010-05-2918:00:00,638
2010-05-2919:00:00,618
2010-05-2920:00:00,592
2010-05-2921:00:00,576
2010-05-2922:00:00,565
2010-05-2923:00:00,554
2010-05-3000:00:00,545
2010-05-3001:00:00,536
2010-05-3002:00:00,529
2010-05-3003:00:00,522
2010-05-3004:00:00,517
2010-05-3005:00:00,516
2010-05-3006:00:00,526
2010-05-3007:00:00,540
2010-05-3008:00:00,558
2010-05-3009:00:00,575
2010-05-3010:00:00,594
2010-05-3011:00:00,611
2010-05-3012:00:00,627
2010-05-3013:00:00,641
2010-05-3014:00:00,650
2010-05-3015:00:00,655
2010-05-3016:00:00,655
2010-05-3017:00:00,649
2010-05-3018:00:00,638
2010-05-3019:00:00,618
2010-05-3020:00:00,593
2010-05-3021:00:00,576
2010-05-3022:00:00,565
2010-05-3023:00:00,555
2010-05-3100:00:00,545
